Subj,CRS,Title,Cmp,Sctn,Days,Start Time,End Time,Mtg Start Date,Mtg End Date,Duration,Instruction Mode,Building,Room,Instr,Enrl Cap,Wait Cap,Cmbnd Descr,Cmbnd Enrl Cap
CSE,371,Logic,LEC,1,TUTH,1:00 PM,2:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Anita Wasilewska,60,0,CSE/MAT371.01,60
CSE,373,Analysis of Algorithms,LEC,1,TUTH,2:30 PM,3:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Rezaul Chowdhury,120,0,CSE373.01/MAT373.01,200
CSE,376,Advanced System Programming in UNIX/C,LEC,1,MW,8:30 AM,9:50 AM,25-Jan-21,19-May-21,80,In Person,TBA,120,Erez Zadok,80,0, , 
CSE,380,Computer Game Programming,LEC,1,TUTH,2:30 PM,3:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Richard McKenna,100,30, , 
CSE,385,Analysis of Algorithms: Honors,LEC,1,TUTH,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Michael Bender,60,0, , 
CSE,385,Analysis of Algorithms: Honors Recitation,REC,R01,RETH,2:00 PM,2:53 PM,25-Jan-21,19-May-21,53,In Person,TBA,TBA,Michael Bender,60,0, , 
CSE,416,Software Engineering,LEC,1,TUTH,7:00 PM,8:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Robert Kelly,70,10, , 
CSE,416,Software Engineering,LEC,2,TUTH,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Scott Stoller,70,10, , 
CSE,506,Operating Systems,LEC,1,TUTH,8:30 AM,9:50 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Dongyoon Lee,150,0, , 
CSE,512,Machine Learning,LEC,1,TUTH,10:00 AM,11:20 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Minh Hoai Nguyen,150,0, , 
